timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1717705211101,1,GetNewProducts,200,OK,Thread Group 1-855,text,true,,1864,150,11,11,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211100,2,GetNewProducts,200,OK,Thread Group 1-854,text,true,,1864,150,10,10,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211100,1,GetNewProducts,200,OK,Thread Group 1-853,text,true,,1864,150,10,10,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211096,1,GetNewProducts,200,OK,Thread Group 1-850,text,true,,1864,150,5,5,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211098,1,GetNewProducts,200,OK,Thread Group 1-851,text,true,,1864,150,7,7,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211094,2,GetNewProducts,200,OK,Thread Group 1-848,text,true,,1864,150,5,5,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211095,1,GetNewProducts,200,OK,Thread Group 1-849,text,true,,1864,150,5,5,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211099,1,GetNewProducts,200,OK,Thread Group 1-852,text,true,,1864,150,9,9,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211093,2,GetNewProducts,200,OK,Thread Group 1-847,text,true,,1864,150,4,4,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211092,1,GetNewProducts,200,OK,Thread Group 1-846,text,true,,1864,150,3,3,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211161,7,GetNewProducts,200,OK,Thread Group 1-916,text,true,,1864,150,7,7,http://localhost:5000/api/product/newProducts/?page=1,7,0,0
1717705211164,6,GetNewProducts,200,OK,Thread Group 1-917,text,true,,1864,150,8,8,http://localhost:5000/api/product/newProducts/?page=1,6,0,0
1717705211164,6,GetNewProducts,200,OK,Thread Group 1-918,text,true,,1864,150,8,8,http://localhost:5000/api/product/newProducts/?page=1,6,0,0
1717705211165,6,GetNewProducts,200,OK,Thread Group 1-919,text,true,,1864,150,7,7,http://localhost:5000/api/product/newProducts/?page=1,6,0,0
1717705211166,5,GetNewProducts,200,OK,Thread Group 1-920,text,true,,1864,150,6,6,http://localhost:5000/api/product/newProducts/?page=1,5,0,0
1717705211167,4,GetNewProducts,200,OK,Thread Group 1-921,text,true,,1864,150,5,5,http://localhost:5000/api/product/newProducts/?page=1,4,0,0
1717705211167,4,GetNewProducts,200,OK,Thread Group 1-922,text,true,,1864,150,5,5,http://localhost:5000/api/product/newProducts/?page=1,4,0,0
1717705211168,3,GetNewProducts,200,OK,Thread Group 1-923,text,true,,1864,150,4,4,http://localhost:5000/api/product/newProducts/?page=1,3,0,0
1717705211169,4,GetNewProducts,200,OK,Thread Group 1-924,text,true,,1864,150,5,5,http://localhost:5000/api/product/newProducts/?page=1,4,0,0
1717705211171,3,GetNewProducts,200,OK,Thread Group 1-925,text,true,,1864,150,4,4,http://localhost:5000/api/product/newProducts/?page=1,3,0,0
1717705211171,3,GetNewProducts,200,OK,Thread Group 1-926,text,true,,1864,150,4,4,http://localhost:5000/api/product/newProducts/?page=1,3,0,0
1717705211172,3,GetNewProducts,200,OK,Thread Group 1-927,text,true,,1864,150,4,4,http://localhost:5000/api/product/newProducts/?page=1,3,0,0
1717705211173,2,GetNewProducts,200,OK,Thread Group 1-928,text,true,,1864,150,3,3,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211174,2,GetNewProducts,200,OK,Thread Group 1-929,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211175,2,GetNewProducts,200,OK,Thread Group 1-930,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211177,1,GetNewProducts,200,OK,Thread Group 1-931,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211178,1,GetNewProducts,200,OK,Thread Group 1-932,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211179,1,GetNewProducts,200,OK,Thread Group 1-933,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211180,1,GetNewProducts,200,OK,Thread Group 1-934,text,true,,1864,150,3,3,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211180,2,GetNewProducts,200,OK,Thread Group 1-935,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211181,2,GetNewProducts,200,OK,Thread Group 1-936,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211182,1,GetNewProducts,200,OK,Thread Group 1-937,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211183,1,GetNewProducts,200,OK,Thread Group 1-938,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211185,1,GetNewProducts,200,OK,Thread Group 1-939,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211186,1,GetNewProducts,200,OK,Thread Group 1-940,text,true,,1864,150,3,3,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211186,2,GetNewProducts,200,OK,Thread Group 1-942,text,true,,1864,150,3,3,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211186,2,GetNewProducts,200,OK,Thread Group 1-941,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,2,0,0
1717705211188,1,GetNewProducts,200,OK,Thread Group 1-943,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211189,1,GetNewProducts,200,OK,Thread Group 1-944,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211190,1,GetNewProducts,200,OK,Thread Group 1-945,text,true,,1864,150,2,2,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
1717705211191,1,GetNewProducts,200,OK,Thread Group 1-946,text,true,,1864,150,1,1,http://localhost:5000/api/product/newProducts/?page=1,1,0,0
